Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
3,weibull,24.981003159603183,0.0003442310733783316,0.0328916581276954,0.8677433386898408,"(1.716554554002275, 60.345981801146394, 99.33513650668222)"
3,normal,289.17925202511555,0.0,0.07992242025764101,0.03170578842240346,"(148.925, 53.43729385925152)"
3,lognorm,17.207784402382767,0.008549188398566332,0.0406328170469967,0.6508622323827863,"(0.3903315119812765, 15.551947725007949, 123.6490660029719)"
3,loglogistic,18.275477880209785,0.005579405417841743,0.044973101524498044,0.5221272389624851,"(5.050475291375223, -0.32405386364637356, 140.59995801037792)"
3,pearson3,17.789796372496337,0.00677954675858472,0.033211693675302745,0.8601500567066956,"(1.0946915031025877, 148.9250013169834, 53.582841960496836)"
4,gamma,24.065030864817956,0.0005080669319004194,0.22330981708684627,0.19123039988486146,"(0.8626030274109404, 19.999999999999996, 32.804912213291004)"
4,weibull,22.059675958942965,0.0011810885531329252,0.2059452664292306,0.269241763495634,"(0.5306311441246696, 19.999999999999996, 31.40291310006985)"
4,normal,18.989295955350048,0.00822093868043694,0.1712766222691186,0.4861705714254213,"(60.54545454545455, 37.590771682721275)"
4,lognorm,187.1120179493317,0.0,0.45925054374213015,9.159362197578808e-05,"(10.57972372815525, 19.999999999999996, 1.0539710072068231)"
4,loglogistic,14.735701737111825,0.02241503247174703,0.11686490583920839,0.890979346502529,"(1.4678193840115368, 18.143254982730937, 27.51851127407088)"
4,pearson3,14.372134407121168,0.025744489110733015,0.1628498362771421,0.5497673417286114,"(2.1730232393419113, 55.088156871335286, 38.12369015354308)"
5,gamma,28.839698508822238,6.523670052061004e-05,0.0695748262693533,0.029355242659402703,"(2.7192279095280982, 14.347034220850997, 9.779486385858183)"
5,weibull,31.307482082813262,2.214233082820094e-05,0.07204117710134983,0.021676481742556944,"(1.438230310167068, 17.688592364043764, 25.68195829165328)"
5,normal,265.0575947274909,0.0,0.15005769093979193,6.1570382858804835e-09,"(40.93967517401392, 16.830837869065416)"
5,lognorm,19.177421592613552,0.003874255610796462,0.0480604263774288,0.2638842315496661,"(0.5201840510152405, 10.135725728583166, 26.918998561902654)"
5,loglogistic,17.466413043225018,0.007713629000331901,0.032497632204184446,0.7401430632808854,"(3.0727214473876305, 12.30717731328819, 24.52933317708132)"
5,pearson3,28.839686132454368,6.523705207694963e-05,0.06957544635054413,0.02935304363345148,"(1.2128501246262016, 40.93971384482683, 16.126440725897048)"
6,gamma,2.817523708483785,0.8313763514900966,0.051532583358444795,0.8414536909285234,"(1.8025425108752606, 20.308200172833075, 14.605374954133946)"
6,weibull,3.18894335087906,0.7847861686480505,0.05977381785586894,0.6890101164153837,"(1.3631916864070381, 20.797936463932565, 28.23227090208745)"
6,normal,180.82590447727074,0.0,0.12023365905185401,0.03492204130432497,"(46.63503649635037, 19.343561486553337)"
6,lognorm,4.481371239963835,0.611825539199538,0.044836338403774545,0.9342000519312392,"(0.5942431262492668, 14.615043421319479, 26.972540740995687)"
6,loglogistic,7.2251044741343975,0.30053057099082525,0.05252105698232756,0.8247876738652677,"(2.572601519443097, 17.147231629457465, 24.2943777457105)"
6,pearson3,2.817481640436519,0.8313814535800628,0.05153329067740808,0.8414419904600718,"(1.4896616354846952, 46.63501558259495, 19.609041057100463)"
7,gamma,14.846762371985292,0.021482634545034074,0.05035339013537904,0.8108248288934161,"(6.350752801086721, 7.959236334687265, 8.949013178796907)"
7,weibull,16.22454894868413,0.012598146519171127,0.0536309104540893,0.7468148968822697,"(1.9616162723333477, 23.503101839745796, 46.81593992913943)"
7,normal,26.805368702750542,0.000361256159794765,0.0915819070831253,0.14188685750533947,"(64.79220779220779, 22.328909490204786)"
7,lognorm,15.13381032789312,0.01924111732699363,0.05226941819023906,0.7740078776487813,"(0.2761627551970935, -15.709291038604267, 77.50656095117972)"
7,loglogistic,16.458532624381984,0.011493394204556973,0.0541546158717765,0.7361787331368601,"(4.947148075489644, -0.25999969841714754, 61.64750664595221)"
7,pearson3,14.84676993005797,0.0214825723693588,0.050353738722221875,0.8108183158857534,"(0.7936331090839244, 64.79223492098197, 22.552135064948853)"
8,gamma,2.5487174207549246,0.862976062890757,0.06174936072729598,0.772077498304236,"(10.815981362476606, 9.551297140829806, 3.9792610529663546)"
8,weibull,8.285592088210107,0.2179178491746776,0.06339761449668435,0.7441794410625266,"(1.9222481474072177, 28.842788110104195, 26.985634326034777)"
8,normal,10.052349741647332,0.18562621593513096,0.10039843355723299,0.20331938124477988,"(52.59090909090909, 13.214520563342745)"
8,lognorm,2.144061085852176,0.9059837975775201,0.05679991770946646,0.8498152485211155,"(0.22544739705661512, -4.995760797478764, 56.13792491090123)"
8,loglogistic,2.027984132493172,0.9171069847735409,0.04997722305037866,0.9334504111309951,"(6.594279578230764, 3.844236959724156, 47.012092641434094)"
8,pearson3,2.548751336745231,0.8629722126930099,0.061747668840992365,0.7721057360205819,"(0.608132405151637, 52.5908504804202, 13.086876832745551)"
9,gamma,117.53649544392317,0.0,0.07708373050687406,7.896576547600844e-05,"(19.17602937942719, -16.238267972128597, 5.043335445487027)"
9,weibull,90000000057.47623,0.0,0.07149070868625251,0.00032545031958923634,"(2.129351391886159, 35.59814798211556, 50.985886740956715)"
